order_id,brand_id,time_slot_id,zone_id,orders_date,platform_id,gross_revenue,food_cost,packing_cost,platform_commission_pct,customer_delivery_paid,discount_applied,order_status,delivery_cost_brand
ORD-040001,5,3,1,2023-07-21,1,220.09,72.33,14.2,0.25,19.22,29.75,Delivered,25
ORD-040002,5,7,1,2023-03-12,3,189.85,71.03,15.42,0.05,19.96,2.92,Cancelled,25
ORD-040003,2,8,3,2023-04-06,2,351.28,115.95,23.96,0.22,35.92,61.41,Delivered,45
ORD-040004,2,8,2,2023-05-12,1,322.22,107.61,17.13,0.25,35.9,53.19,Cancelled,35
ORD-040005,2,5,2,2023-05-28,1,340.63,113.97,18.18,0.25,27.89,55.7,Refunded,35
ORD-040006,5,6,2,2023-06-19,3,256.35,92.03,16.06,0.05,28.46,14.17,Delivered,35
ORD-040007,2,9,2,2023-06-27,2,252.73,87.13,19.82,0.22,33.2,34.9,Delivered,35
ORD-040008,3,6,2,2023-10-07,2,251.43,98.07,21.74,0.22,25.88,47.12,Delivered,35
ORD-040009,2,10,4,2023-11-08,1,383.52,130.63,24.37,0.25,58.53,56.95,Delivered,70
ORD-040010,3,6,1,2023-07-27,2,292.01,121.23,21.49,0.22,17.68,39.45,Delivered,25
ORD-040011,2,6,5,2024-05-23,2,380.78,123.27,23.62,0.22,59.87,72.61,Delivered,90
ORD-040012,2,6,4,2023-11-30,1,404.58,139.04,25.01,0.25,48.68,56.98,Delivered,70
ORD-040013,3,9,1,2024-03-27,3,345.4,159.19,14.76,0.05,18.29,13.75,Delivered,25
ORD-040014,3,6,2,2024-06-01,2,282.1,111.01,17.34,0.22,30.32,50.82,Delivered,35
ORD-040015,5,6,4,2023-04-29,3,203.64,72.89,14.4,0.05,37.23,11.82,Delivered,70
ORD-040016,3,5,1,2023-09-24,1,312.53,132.41,18.05,0.25,21.53,36.67,Delivered,25
ORD-040017,1,9,1,2023-09-27,2,265.46,97.34,17.85,0.22,18.87,49.15,Delivered,25
ORD-040018,2,10,2,2023-08-17,2,338.58,117.33,18.4,0.22,30.78,45.25,Delivered,35
ORD-040019,1,10,1,2023-01-08,2,181.72,70,16.06,0.22,21.14,26.17,Delivered,25
ORD-040020,2,3,3,2024-04-11,1,291.74,81.19,20.61,0.25,40.76,88.77,Delivered,45
ORD-040021,3,9,2,2023-03-25,2,337.37,131.88,19.54,0.22,24.67,62.63,Delivered,35
ORD-040022,2,8,2,2024-06-29,1,268.13,89.37,19.3,0.25,33.06,44.71,Delivered,35
ORD-040023,1,9,2,2024-03-23,1,247.49,98.97,17.92,0.25,29.33,27.55,Delivered,35
ORD-040024,3,6,3,2023-12-15,1,272.57,116.15,16.34,0.25,38.15,30.6,Delivered,45
ORD-040025,3,6,3,2023-04-23,3,292.31,138.66,18.84,0.05,42.48,3.43,Delivered,45
ORD-040026,3,6,2,2023-11-12,1,240.19,78.86,20.43,0.25,30.62,75.89,Cancelled,35
ORD-040027,3,10,3,2023-06-30,1,295.27,128.98,18.46,0.25,38.77,26.56,Delivered,45
ORD-040028,5,3,1,2023-06-25,2,300.98,90.22,18.54,0.22,19.99,63.56,Delivered,25
ORD-040029,3,10,1,2024-04-15,1,301.39,126.15,19.77,0.25,19.29,38.58,Delivered,25
ORD-040030,3,8,2,2023-08-31,1,295.91,121.05,19.29,0.25,29.8,43.72,Delivered,35
ORD-040031,1,8,2,2023-10-04,1,202.5,82.75,18.35,0.25,29.63,18.61,Cancelled,35
ORD-040032,3,4,2,2024-04-21,2,281.29,108.41,22.42,0.22,31.24,55.44,Delivered,35
ORD-040033,3,9,1,2023-03-08,2,317.03,100.73,20.72,0.22,21.21,107.17,Delivered,25
ORD-040034,1,3,1,2023-12-23,1,223.68,85.79,15.5,0.25,19.12,33.04,Delivered,25
ORD-040035,2,8,2,2023-12-14,1,346.02,122.49,19.24,0.25,27.15,39.79,Delivered,35
ORD-040036,2,8,1,2023-09-23,1,271.2,93.32,26.96,0.25,19.38,37.89,Delivered,25
ORD-040037,1,10,1,2024-04-15,2,278.39,102.4,18.37,0.22,17.71,50.83,Delivered,25
